,Actual,Predicted
659,6.262,6.836180300770277
634,7.278,6.5742025032496
633,7.307,6.562116989215024
642,6.985,6.468446386969749
650,6.446,6.362739094944754
645,6.852,6.336569385947962
680,5.893,6.310227987270604
663,6.198,6.296267696420642
685,5.809,6.078469874308594
682,5.888,5.9565784528522085
677,6.008,5.921115152975769
733,4.707,5.827462158709913
688,5.743,5.750954723253001
709,5.274,5.716426190097765
666,6.174,5.683497394262794
716,5.197,5.610602346008754
671,6.1,5.455949981282276
670,6.105,5.45036753009655
652,6.436,5.405102592990225
720,5.082,5.347061158864742
711,5.261,5.334732896827809
773,3.488,5.300908628548676
738,4.639,5.283588010063474
734,4.7,4.8793655676838465
744,4.519,4.744143623689052
763,4.107,4.599852257128993
765,4.015,4.573360443117583
771,3.663,4.455283253012244
778,3.231,4.346531333222462
745,4.516,4.170255660389083
754,4.374,3.8261889672483633
737,4.668,3.3917023728521434
