,Actual,Predicted
659,6.262,7.017318686337964
634,7.278,6.552608990416067
642,6.985,6.493620496828072
633,7.307,6.437561609515992
650,6.446,6.385373003025273
645,6.852,6.238474045174341
663,6.198,6.1487841208022616
680,5.893,6.1250508936210615
682,5.888,5.8371514477008075
685,5.809,5.825303064242933
677,6.008,5.768713055927517
709,5.274,5.677466228810884
716,5.197,5.652098483503956
733,4.707,5.596029307412945
671,6.1,5.409139845283638
744,4.519,5.407155608403441
688,5.743,5.392960183567639
773,3.488,5.3557131884660425
652,6.436,5.264124134409542
670,6.105,5.22042137703648
666,6.174,5.191683605574735
720,5.082,5.0891765538268725
738,4.639,5.017922631424289
765,4.015,4.9762714375336685
711,5.261,4.842256933660762
734,4.7,4.760009296071589
763,4.107,4.476047457574939
778,3.231,4.4166054583647805
771,3.663,4.153431358065825
745,4.516,4.055656747225212
754,4.374,3.737125994087447
737,4.668,3.3528816786812516
