,Actual,Predicted
659,6.262,6.740164493681253
634,7.278,6.501777966909422
633,7.307,6.486160903581527
642,6.985,6.4411177465367455
650,6.446,6.399961558438053
680,5.893,6.3501655844253495
645,6.852,6.33818633354857
663,6.198,6.329151866700812
685,5.809,6.229783679291666
682,5.888,6.003529226446188
677,6.008,5.9127225887735655
733,4.707,5.808707115734951
688,5.743,5.725563485287503
709,5.274,5.653589747299179
666,6.174,5.643716727590553
716,5.197,5.560287596853211
738,4.639,5.530846905914717
773,3.488,5.52618692234589
720,5.082,5.4472103618058725
671,6.1,5.420539885273511
652,6.436,5.354921333843659
670,6.105,5.281659771738794
711,5.261,5.235825353544268
734,4.7,4.821744313928444
763,4.107,4.736932775652313
744,4.519,4.6253471287876184
765,4.015,4.576966256803221
771,3.663,4.51116393785743
778,3.231,4.345367840600778
745,4.516,4.180073705639478
754,4.374,3.9838437915107363
737,4.668,3.3958997685862853
