,Actual,Predicted
315,7.537000179,7.025385006608065
501,6.374,6.879923680523906
193,6.375,6.81672666348525
471,7.594,6.7847531439671425
483,6.977,6.77150919803746
27,6.611,6.755535697992478
327,7.006000042,6.732223695617457
319,7.468999863,6.72606014180364
351,6.343999863,6.656561090866545
627,7.6,6.647948605944113
473,7.495,6.6398217355160645
644,6.892,6.634121884679859
676,6.021,6.630944676137318
636,7.228,6.606523041473573
365,5.920000076,6.587537112185003
487,6.886,6.58465149654047
632,7.343,6.579313920373487
362,5.964000225,6.556519968228846
635,7.246,6.549330888779684
643,6.923,6.539546187127292
476,7.328,6.5182881850634615
701,5.43,6.484514402057846
337,6.609000206,6.471974151235653
485,6.927,6.464565532491761
647,6.726,6.454760319149568
366,5.90199995,6.439590828524544
662,6.199,6.430432794914648
502,6.371,6.427879385086281
491,6.627,6.406195765459101
14,7.119,6.381423018148624
363,5.962999821,6.377947849443666
2,7.527,6.359425046628134
1,7.561,6.355195774056934
638,7.139,6.355175232466817
490,6.711,6.309184600294518
374,5.818999767,6.308112450280312
162,7.413,6.302677991691869
369,5.837999821,6.289480584954726
389,5.323999882,6.2743868032956716
175,6.929,6.2646386823936195
18,6.937,6.262301808722932
691,5.693,6.236947088618003
356,6.084000111,6.232093642924397
48,5.96,6.2293410336381125
71,5.474,6.2001738736197805
210,5.921,6.191710993387435
8,7.286,6.190472800896571
693,5.648,6.188341511547937
172,7.039,6.173393921897322
49,5.948,6.0848719471982005
10,7.278,6.068050111988467
37,6.298,6.048178476075313
530,5.762,6.039824468583046
202,6.078,6.034046471509362
200,6.168,6.02987252853111
40,6.168,6.002944277981684
382,5.525000095,5.961865103183684
673,6.07,5.957622777968388
55,5.833,5.953947041671814
350,6.356999874,5.9460880273302195
214,5.835,5.942693354365891
251,5.123,5.905228792862962
415,4.828999996,5.902664220348496
397,5.236999989,5.891076932484966
571,4.806,5.8731530333578394
399,5.234000206,5.8727322635183725
103,4.8,5.858856809610414
215,5.835,5.857325014392848
708,5.285,5.842980268633387
563,5.125,5.770629942662973
406,5.175000191,5.764403566918386
31,6.485,5.760138241679268
773,3.488,5.66741819808681
235,5.389,5.650458555451735
222,5.658,5.642542307912387
558,5.185,5.605384069878862
517,5.973,5.561895568310429
294,3.974,5.538637144283628
75,5.332,5.52781612950076
258,4.907,5.5262211406962845
751,4.437,5.525717085227496
425,4.573999882,5.491285397972843
422,4.691999912,5.490474854782475
142,3.896,5.490386450382848
666,6.174,5.482819807013811
586,4.456,5.4595332510362375
79,5.212,5.454948247193072
231,5.488,5.45169794334128
85,5.124,5.443667630118023
386,5.429999828,5.439666123984262
39,6.269,5.434530957918565
364,5.955999851,5.376596052785391
575,4.707,5.370004645895729
250,5.129,5.368746841291333
243,5.177,5.363743387154181
52,5.878,5.311671655084364
252,5.121,5.309912610687293
454,3.795000076,5.309359054141988
435,4.375999928,5.298492649784736
409,5.073999882,5.275541655372212
236,5.314,5.272039872813524
64,5.709,5.265553303061507
686,5.779,5.255888504748352
230,5.51,5.247142494723949
580,4.592,5.208113651115182
241,5.196,5.12668192864866
196,6.324,5.061903287029933
239,5.279,5.029080535273991
710,5.265,5.028388003090943
68,5.589,4.951418939033619
50,5.89,4.885782826566284
597,4.34,4.8487531453978026
253,5.061,4.825211304203486
734,4.7,4.822676999607439
441,4.190000057,4.790342602058698
261,4.871,4.712864593190061
413,4.961999893,4.706821321974857
76,5.286,4.67227726444383
577,4.657,4.655532283243834
242,5.185,4.65116311469202
578,4.631,4.562275974033913
724,4.944,4.537468232913419
584,4.5,4.509112265009261
424,4.607999802,4.50454957109282
622,3.303,4.497274882103874
447,4.080999851,4.489582473100844
753,4.39,4.474030861778901
283,4.252,4.4704825008543425
279,4.356,4.415534918148022
113,4.633,4.383049982101015
619,3.462,4.3743673439864
604,4.161,4.349600330693781
590,4.424,4.341637553784132
759,4.286,4.324146471344589
150,3.655,4.322019499202019
271,4.513,4.299026519891
116,4.565,4.29643806393796
285,4.219,4.28547439503377
313,3.069,4.271718149696592
249,5.132,4.26668880216144
774,3.462,4.247260332934114
122,4.507,4.2459468310664255
145,3.781,4.207770670030342
620,3.408,4.19649770833733
777,3.334,4.081330638639431
268,4.635,4.01860274513104
457,3.657000065,3.9659288410825364
592,4.417,3.9651995195209344
614,3.632,3.880507761972035
766,3.975,3.7621137167800964
739,4.628,3.746603524679247
293,4.028,3.6838742231820234
775,3.41,3.6518142622085055
625,2.905,3.534235556686114
567,4.982,3.448390016585969
156,2.905,3.2147503388179026
780,3.083,2.8675947503660617
